@relation control_asistencia_monngo.asistencias-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R5

@attribute nombre {'Jorge Morales','Rafael Ortiz','Claudia Reyes','Mario Salazar','Diego Campos','Luis Silva','Laura Sanchez','Juan Pena','Sofia Herrera','Sara Villalba','Felipe Mendoza','Tomas Gallardo','Hector Gutierrez','Diana Moreno','Gabriel Romero','Elena Vargas','Lucia Medina','Monica Cabrera','Jose Lopez','Paula Fernandez','Carlos Diaz','Ana Torres','Miguel Castro','Daniela Pardo','Camila Navarro','Isabel Fuentes','Pedro Gomez','Andrea Rios','Valeria Soto','Pablo Torres'}
@attribute clase {Matematicas-A,Quimica-C,Historia-B}
@attribute dia_semana {martes,viernes,lunes,miercoles,jueves}
@attribute hora {'10:15 a. m.','11:30 a. m.','10:00 a. m.','02:45 a. m.','10:15 p. m.','09:15 p. m.','07:00 p. m.','08:45 a. m.','06:15 a. m.','06:00 p. m.','01:15 a. m.','02:00 p. m.','06:45 p. m.','04:30 a. m.','04:45 p. m.','11:45 p. m.','09:00 a. m.','11:15 a. m.','08:00 a. m.','06:30 a. m.','02:30 a. m.','11:30 p. m.','05:15 p. m.','04:30 p. m.','01:00 a. m.','05:30 a. m.','02:00 a. m.','04:15 p. m.','10:30 a. m.','01:15 p. m.','09:00 p. m.','02:15 p. m.','10:30 p. m.','03:00 a. m.','12:30 a. m.','10:00 p. m.','11:00 a. m.','09:30 p. m.','03:00 p. m.','01:30 p. m.','03:45 a. m.','07:45 p. m.','05:45 a. m.','03:45 p. m.','05:15 a. m.','03:15 p. m.','08:15 p. m.','10:45 a. m.','12:00 a. m.','07:30 p. m.','07:15 p. m.','09:30 a. m.','04:45 a. m.','09:15 a. m.','07:15 a. m.','03:30 p. m.','05:00 p. m.','01:45 a. m.','08:00 p. m.','03:15 a. m.','07:30 a. m.','12:00 p. m.','04:00 p. m.','07:45 a. m.','09:45 a. m.','12:45 a. m.','04:15 a. m.','12:45 p. m.','08:15 a. m.','12:15 a. m.','08:30 p. m.','04:00 a. m.','11:45 a. m.','05:45 p. m.','01:45 p. m.','02:30 p. m.','06:45 a. m.','08:45 p. m.','08:30 a. m.','10:45 p. m.','05:30 p. m.','06:15 p. m.','12:15 p. m.','02:45 p. m.','05:00 a. m.','01:00 p. m.','11:15 p. m.','11:00 p. m.','01:30 a. m.','06:30 p. m.','03:30 a. m.','06:00 a. m.','07:00 a. m.','02:15 a. m.','09:45 p. m.','12:30 p. m.'}
@attribute mes {febrero,enero,abril,marzo,diciembre,mayo,julio,octubre,septiembre,noviembre,junio,agosto}
@attribute estado {Ausente,Presente,Tarde}

@data
'Ana Torres',Quimica-C,viernes,'09:00 p. m.',abril,Presente
'Elena Vargas',Quimica-C,viernes,'02:15 p. m.',julio,Presente
'Tomas Gallardo',Quimica-C,viernes,'04:30 a. m.',enero,Presente
'Hector Gutierrez',Matematicas-A,martes,'10:30 p. m.',julio,Ausente
'Lucia Medina',Matematicas-A,jueves,'03:00 a. m.',junio,Presente
'Luis Silva',Quimica-C,jueves,'12:30 a. m.',agosto,Ausente
'Hector Gutierrez',Matematicas-A,lunes,'08:00 a. m.',mayo,Presente
'Jose Lopez',Quimica-C,jueves,'08:00 a. m.',septiembre,Presente
'Sara Villalba',Quimica-C,martes,'10:00 p. m.',diciembre,Presente
'Diego Campos',Matematicas-A,martes,'11:00 a. m.',abril,Ausente
'Daniela Pardo',Historia-B,viernes,'09:30 p. m.',diciembre,Tarde
'Juan Pena',Historia-B,martes,'03:00 p. m.',octubre,Presente
'Hector Gutierrez',Historia-B,martes,'09:00 a. m.',abril,Presente
'Rafael Ortiz',Historia-B,viernes,'06:45 p. m.',junio,Presente
'Juan Pena',Quimica-C,miercoles,'01:30 p. m.',diciembre,Presente
'Camila Navarro',Matematicas-A,jueves,'03:45 a. m.',noviembre,Presente
'Isabel Fuentes',Historia-B,viernes,'07:45 p. m.',noviembre,Presente
'Pedro Gomez',Matematicas-A,lunes,'05:45 a. m.',agosto,Presente
'Claudia Reyes',Quimica-C,martes,'06:45 p. m.',mayo,Presente
'Hector Gutierrez',Historia-B,miercoles,'03:45 p. m.',noviembre,Presente
'Monica Cabrera',Historia-B,miercoles,'09:15 p. m.',abril,Tarde
'Claudia Reyes',Historia-B,viernes,'09:15 p. m.',julio,Tarde
'Carlos Diaz',Historia-B,jueves,'05:15 a. m.',octubre,Presente
'Lucia Medina',Historia-B,jueves,'03:15 p. m.',julio,Presente
'Camila Navarro',Historia-B,miercoles,'08:15 p. m.',julio,Presente
'Ana Torres',Historia-B,martes,'11:00 a. m.',agosto,Ausente
'Jorge Morales',Matematicas-A,martes,'10:45 a. m.',abril,Ausente
'Ana Torres',Historia-B,miercoles,'12:00 a. m.',noviembre,Ausente
'Diana Moreno',Quimica-C,miercoles,'09:15 p. m.',agosto,Presente
'Juan Pena',Historia-B,jueves,'02:00 a. m.',enero,Presente
'Claudia Reyes',Quimica-C,jueves,'07:30 p. m.',septiembre,Presente
'Daniela Pardo',Quimica-C,viernes,'02:00 a. m.',febrero,Presente
'Carlos Diaz',Historia-B,lunes,'07:15 p. m.',mayo,Presente
'Lucia Medina',Matematicas-A,martes,'09:30 a. m.',junio,Ausente
'Pedro Gomez',Matematicas-A,miercoles,'10:30 p. m.',agosto,Ausente
'Laura Sanchez',Historia-B,viernes,'04:45 a. m.',mayo,Presente
'Diana Moreno',Quimica-C,viernes,'09:00 p. m.',agosto,Presente
'Miguel Castro',Quimica-C,viernes,'11:30 a. m.',julio,Ausente
'Ana Torres',Historia-B,lunes,'09:15 a. m.',diciembre,Tarde
'Monica Cabrera',Historia-B,martes,'08:45 a. m.',abril,Presente
'Andrea Rios',Matematicas-A,lunes,'01:15 p. m.',septiembre,Presente
'Tomas Gallardo',Quimica-C,miercoles,'05:45 a. m.',marzo,Presente
'Felipe Mendoza',Quimica-C,viernes,'03:45 p. m.',agosto,Presente
'Miguel Castro',Historia-B,lunes,'03:45 a. m.',mayo,Presente
'Sofia Herrera',Historia-B,martes,'02:45 a. m.',junio,Presente
'Jose Lopez',Quimica-C,martes,'10:15 a. m.',mayo,Presente
'Sofia Herrera',Quimica-C,miercoles,'05:45 a. m.',junio,Presente
'Monica Cabrera',Matematicas-A,lunes,'07:15 a. m.',abril,Presente
'Luis Silva',Quimica-C,martes,'03:30 p. m.',diciembre,Presente
'Pedro Gomez',Historia-B,viernes,'08:15 p. m.',abril,Presente
'Claudia Reyes',Matematicas-A,viernes,'05:00 p. m.',enero,Presente
'Gabriel Romero',Historia-B,jueves,'11:15 a. m.',enero,Ausente
'Laura Sanchez',Matematicas-A,viernes,'01:45 a. m.',noviembre,Presente
'Diana Moreno',Historia-B,lunes,'01:45 a. m.',enero,Presente
'Ana Torres',Historia-B,martes,'07:45 p. m.',septiembre,Presente
'Rafael Ortiz',Matematicas-A,viernes,'09:00 p. m.',enero,Ausente
'Ana Torres',Historia-B,miercoles,'08:00 p. m.',septiembre,Presente
'Daniela Pardo',Matematicas-A,lunes,'03:30 p. m.',agosto,Presente
'Pedro Gomez',Quimica-C,miercoles,'09:00 p. m.',octubre,Presente
'Hector Gutierrez',Matematicas-A,jueves,'06:45 p. m.',junio,Presente
'Diana Moreno',Quimica-C,miercoles,'04:15 p. m.',febrero,Presente
'Rafael Ortiz',Matematicas-A,viernes,'10:15 p. m.',septiembre,Ausente
'Mario Salazar',Historia-B,martes,'03:45 a. m.',julio,Presente
'Miguel Castro',Historia-B,martes,'03:15 a. m.',enero,Presente
'Gabriel Romero',Quimica-C,lunes,'12:00 a. m.',septiembre,Ausente
'Luis Silva',Quimica-C,jueves,'07:30 a. m.',septiembre,Presente
'Tomas Gallardo',Matematicas-A,miercoles,'03:45 a. m.',diciembre,Presente
'Sara Villalba',Historia-B,jueves,'09:15 a. m.',octubre,Tarde
'Camila Navarro',Quimica-C,viernes,'05:45 a. m.',julio,Presente
'Gabriel Romero',Matematicas-A,miercoles,'01:45 a. m.',marzo,Presente
'Luis Silva',Quimica-C,jueves,'12:00 p. m.',junio,Ausente
'Valeria Soto',Historia-B,jueves,'10:00 a. m.',febrero,Ausente
'Sara Villalba',Matematicas-A,viernes,'05:15 a. m.',abril,Presente
'Sara Villalba',Quimica-C,martes,'04:00 p. m.',octubre,Presente
'Andrea Rios',Historia-B,miercoles,'02:00 p. m.',marzo,Presente
'Pedro Gomez',Matematicas-A,lunes,'08:45 a. m.',mayo,Ausente
'Hector Gutierrez',Historia-B,viernes,'08:00 a. m.',febrero,Presente
'Luis Silva',Matematicas-A,martes,'11:45 p. m.',julio,Ausente
'Isabel Fuentes',Matematicas-A,viernes,'03:45 p. m.',octubre,Presente
'Elena Vargas',Matematicas-A,miercoles,'11:30 a. m.',septiembre,Ausente
'Claudia Reyes',Historia-B,lunes,'10:30 a. m.',julio,Ausente
'Tomas Gallardo',Historia-B,viernes,'04:15 p. m.',enero,Presente
'Luis Silva',Quimica-C,lunes,'04:45 a. m.',marzo,Presente
'Rafael Ortiz',Matematicas-A,miercoles,'01:45 a. m.',junio,Presente
'Tomas Gallardo',Quimica-C,martes,'11:30 p. m.',diciembre,Ausente
'Laura Sanchez',Quimica-C,miercoles,'07:45 a. m.',mayo,Presente
'Daniela Pardo',Historia-B,lunes,'09:45 a. m.',agosto,Ausente
'Monica Cabrera',Historia-B,jueves,'11:45 p. m.',mayo,Ausente
'Elena Vargas',Quimica-C,viernes,'12:45 a. m.',diciembre,Ausente
'Sara Villalba',Historia-B,miercoles,'10:45 a. m.',enero,Ausente
'Lucia Medina',Historia-B,lunes,'05:30 a. m.',julio,Presente
'Ana Torres',Quimica-C,lunes,'05:15 p. m.',agosto,Presente
'Miguel Castro',Matematicas-A,lunes,'04:30 p. m.',abril,Presente
'Laura Sanchez',Matematicas-A,miercoles,'12:00 a. m.',mayo,Ausente
'Hector Gutierrez',Matematicas-A,viernes,'10:00 a. m.',agosto,Ausente
'Miguel Castro',Matematicas-A,miercoles,'07:45 a. m.',enero,Presente
'Paula Fernandez',Historia-B,miercoles,'03:15 a. m.',enero,Presente
'Miguel Castro',Matematicas-A,jueves,'05:15 p. m.',julio,Presente
'Juan Pena',Matematicas-A,miercoles,'09:30 p. m.',febrero,Ausente
'Miguel Castro',Historia-B,lunes,'09:00 a. m.',septiembre,Presente
'Monica Cabrera',Quimica-C,miercoles,'07:30 p. m.',agosto,Presente
'Carlos Diaz',Historia-B,miercoles,'02:00 a. m.',octubre,Presente
'Sofia Herrera',Matematicas-A,lunes,'08:15 p. m.',agosto,Tarde
'Mario Salazar',Quimica-C,jueves,'08:00 a. m.',septiembre,Presente
'Lucia Medina',Historia-B,miercoles,'07:45 p. m.',mayo,Presente
'Paula Fernandez',Quimica-C,martes,'01:45 a. m.',agosto,Presente
'Jorge Morales',Quimica-C,jueves,'01:00 a. m.',noviembre,Presente
'Paula Fernandez',Quimica-C,miercoles,'12:45 a. m.',julio,Ausente
'Valeria Soto',Matematicas-A,jueves,'05:45 a. m.',enero,Presente
'Monica Cabrera',Matematicas-A,lunes,'04:15 a. m.',junio,Presente
'Gabriel Romero',Quimica-C,miercoles,'09:15 p. m.',abril,Presente
'Carlos Diaz',Historia-B,martes,'03:15 a. m.',octubre,Presente
'Mario Salazar',Historia-B,jueves,'12:45 p. m.',febrero,Ausente
'Carlos Diaz',Historia-B,lunes,'08:15 a. m.',septiembre,Presente
'Pedro Gomez',Matematicas-A,miercoles,'08:00 p. m.',diciembre,Presente
'Sara Villalba',Historia-B,viernes,'01:30 p. m.',enero,Presente
'Hector Gutierrez',Quimica-C,miercoles,'12:15 a. m.',diciembre,Ausente
'Diego Campos',Historia-B,miercoles,'09:15 a. m.',mayo,Tarde
'Lucia Medina',Quimica-C,martes,'08:30 p. m.',marzo,Presente
'Hector Gutierrez',Historia-B,jueves,'02:00 p. m.',agosto,Presente
'Miguel Castro',Quimica-C,viernes,'01:30 p. m.',diciembre,Presente
'Gabriel Romero',Matematicas-A,jueves,'03:15 a. m.',marzo,Presente
'Claudia Reyes',Historia-B,lunes,'04:00 a. m.',octubre,Presente
'Claudia Reyes',Quimica-C,martes,'01:45 a. m.',marzo,Presente
'Sara Villalba',Quimica-C,viernes,'11:45 a. m.',junio,Ausente
'Juan Pena',Historia-B,miercoles,'02:00 p. m.',junio,Presente
'Jose Lopez',Historia-B,martes,'08:45 a. m.',abril,Presente
'Luis Silva',Historia-B,viernes,'05:45 p. m.',octubre,Presente
'Andrea Rios',Matematicas-A,jueves,'01:45 p. m.',julio,Presente
'Jorge Morales',Quimica-C,viernes,'08:15 p. m.',agosto,Presente
'Paula Fernandez',Historia-B,martes,'02:30 p. m.',junio,Presente
'Monica Cabrera',Historia-B,martes,'06:45 a. m.',octubre,Presente
'Claudia Reyes',Matematicas-A,lunes,'08:00 p. m.',septiembre,Presente
'Andrea Rios',Quimica-C,viernes,'12:00 p. m.',enero,Ausente
'Laura Sanchez',Historia-B,viernes,'11:30 a. m.',enero,Ausente
'Lucia Medina',Historia-B,viernes,'09:15 p. m.',septiembre,Tarde
'Mario Salazar',Quimica-C,martes,'05:30 a. m.',febrero,Presente
'Mario Salazar',Quimica-C,miercoles,'10:30 p. m.',agosto,Presente
'Claudia Reyes',Historia-B,viernes,'02:30 p. m.',mayo,Presente
'Felipe Mendoza',Historia-B,viernes,'06:45 a. m.',diciembre,Presente
'Felipe Mendoza',Historia-B,martes,'07:30 p. m.',noviembre,Presente
'Camila Navarro',Quimica-C,jueves,'05:45 p. m.',agosto,Presente
'Laura Sanchez',Matematicas-A,martes,'11:45 p. m.',enero,Ausente
'Pablo Torres',Matematicas-A,viernes,'04:00 p. m.',marzo,Presente
'Diego Campos',Quimica-C,martes,'01:30 p. m.',septiembre,Presente
'Andrea Rios',Matematicas-A,martes,'08:45 p. m.',noviembre,Ausente
'Gabriel Romero',Historia-B,miercoles,'04:45 p. m.',diciembre,Presente
'Miguel Castro',Matematicas-A,viernes,'08:30 a. m.',marzo,Tarde
'Jose Lopez',Historia-B,miercoles,'10:45 p. m.',junio,Ausente
'Diana Moreno',Quimica-C,lunes,'04:00 a. m.',julio,Presente
'Gabriel Romero',Quimica-C,jueves,'09:15 p. m.',noviembre,Presente
'Rafael Ortiz',Matematicas-A,viernes,'08:30 a. m.',enero,Tarde
'Elena Vargas',Quimica-C,viernes,'12:45 a. m.',octubre,Ausente
'Jorge Morales',Quimica-C,jueves,'12:00 p. m.',agosto,Ausente
'Diana Moreno',Matematicas-A,martes,'05:15 a. m.',noviembre,Presente
'Paula Fernandez',Historia-B,jueves,'12:00 a. m.',enero,Ausente
'Pedro Gomez',Historia-B,martes,'07:30 a. m.',marzo,Presente
'Gabriel Romero',Matematicas-A,martes,'05:30 p. m.',junio,Presente
'Jorge Morales',Quimica-C,lunes,'09:15 p. m.',julio,Presente
'Andrea Rios',Quimica-C,lunes,'06:00 p. m.',septiembre,Presente
'Miguel Castro',Matematicas-A,viernes,'08:15 p. m.',noviembre,Tarde
'Jose Lopez',Matematicas-A,lunes,'03:00 a. m.',julio,Presente
'Diana Moreno',Quimica-C,jueves,'02:30 p. m.',enero,Presente
'Pablo Torres',Quimica-C,viernes,'12:00 a. m.',diciembre,Ausente
'Miguel Castro',Quimica-C,lunes,'03:30 p. m.',septiembre,Presente
'Felipe Mendoza',Matematicas-A,viernes,'10:00 a. m.',octubre,Ausente
'Rafael Ortiz',Matematicas-A,jueves,'06:15 p. m.',julio,Presente
'Camila Navarro',Matematicas-A,martes,'05:00 p. m.',diciembre,Presente
'Gabriel Romero',Quimica-C,martes,'10:00 a. m.',mayo,Presente
'Mario Salazar',Matematicas-A,viernes,'09:45 a. m.',abril,Ausente
'Ana Torres',Matematicas-A,viernes,'12:15 p. m.',septiembre,Ausente
'Daniela Pardo',Historia-B,miercoles,'06:45 p. m.',octubre,Presente
'Monica Cabrera',Historia-B,miercoles,'02:45 a. m.',junio,Presente
'Jorge Morales',Quimica-C,martes,'01:15 a. m.',abril,Presente
'Valeria Soto',Historia-B,viernes,'11:00 a. m.',febrero,Ausente
'Jorge Morales',Historia-B,lunes,'01:30 p. m.',julio,Presente
'Isabel Fuentes',Historia-B,jueves,'12:45 a. m.',octubre,Ausente
'Claudia Reyes',Historia-B,martes,'03:15 a. m.',abril,Presente
'Diana Moreno',Matematicas-A,viernes,'08:15 p. m.',abril,Tarde
'Rafael Ortiz',Matematicas-A,lunes,'04:00 p. m.',octubre,Presente
'Lucia Medina',Quimica-C,viernes,'07:15 a. m.',octubre,Presente
'Andrea Rios',Matematicas-A,viernes,'11:30 a. m.',mayo,Ausente
'Andrea Rios',Matematicas-A,jueves,'04:00 p. m.',mayo,Presente
'Diana Moreno',Matematicas-A,viernes,'05:30 p. m.',marzo,Presente
'Daniela Pardo',Historia-B,jueves,'11:00 a. m.',diciembre,Ausente
'Andrea Rios',Matematicas-A,viernes,'09:00 p. m.',abril,Ausente
'Paula Fernandez',Matematicas-A,martes,'06:45 p. m.',noviembre,Presente
'Felipe Mendoza',Historia-B,miercoles,'10:30 p. m.',mayo,Ausente
'Claudia Reyes',Quimica-C,jueves,'02:45 p. m.',agosto,Presente
'Mario Salazar',Quimica-C,viernes,'05:30 p. m.',junio,Presente
'Diana Moreno',Matematicas-A,viernes,'02:45 p. m.',marzo,Presente
'Pablo Torres',Matematicas-A,jueves,'03:15 p. m.',noviembre,Presente
'Elena Vargas',Historia-B,viernes,'08:00 a. m.',octubre,Presente
'Daniela Pardo',Quimica-C,miercoles,'01:15 a. m.',julio,Presente
'Sofia Herrera',Historia-B,lunes,'09:15 p. m.',diciembre,Tarde
'Sofia Herrera',Historia-B,lunes,'05:00 a. m.',febrero,Presente
'Daniela Pardo',Matematicas-A,lunes,'04:00 p. m.',mayo,Presente
'Diego Campos',Quimica-C,miercoles,'08:30 a. m.',diciembre,Presente
'Miguel Castro',Matematicas-A,lunes,'04:45 a. m.',marzo,Presente
'Pedro Gomez',Matematicas-A,miercoles,'01:00 p. m.',agosto,Presente
'Valeria Soto',Matematicas-A,jueves,'03:00 a. m.',septiembre,Presente
'Carlos Diaz',Historia-B,lunes,'02:30 p. m.',abril,Presente
'Isabel Fuentes',Matematicas-A,viernes,'01:45 p. m.',mayo,Presente
'Monica Cabrera',Historia-B,jueves,'09:15 a. m.',mayo,Tarde
'Hector Gutierrez',Matematicas-A,jueves,'12:30 a. m.',marzo,Ausente
'Camila Navarro',Historia-B,viernes,'10:00 p. m.',junio,Ausente
'Daniela Pardo',Historia-B,jueves,'12:45 p. m.',agosto,Ausente
'Monica Cabrera',Matematicas-A,miercoles,'11:00 a. m.',abril,Ausente
'Diego Campos',Matematicas-A,viernes,'09:15 p. m.',febrero,Ausente
'Camila Navarro',Matematicas-A,viernes,'11:15 p. m.',noviembre,Ausente
'Felipe Mendoza',Quimica-C,jueves,'10:45 p. m.',marzo,Tarde
'Pablo Torres',Historia-B,jueves,'08:30 p. m.',julio,Presente
'Elena Vargas',Quimica-C,jueves,'05:15 p. m.',abril,Presente
'Hector Gutierrez',Quimica-C,viernes,'11:00 p. m.',diciembre,Tarde
'Sara Villalba',Quimica-C,viernes,'06:30 a. m.',febrero,Presente
'Lucia Medina',Quimica-C,martes,'07:15 p. m.',enero,Presente
'Diana Moreno',Matematicas-A,martes,'10:15 a. m.',enero,Ausente
'Camila Navarro',Historia-B,jueves,'04:45 p. m.',mayo,Presente
'Mario Salazar',Quimica-C,miercoles,'12:30 a. m.',noviembre,Ausente
'Rafael Ortiz',Matematicas-A,martes,'05:00 a. m.',marzo,Presente
'Luis Silva',Quimica-C,jueves,'03:30 p. m.',junio,Presente
'Elena Vargas',Matematicas-A,miercoles,'06:30 a. m.',marzo,Presente
'Gabriel Romero',Quimica-C,viernes,'04:30 p. m.',julio,Presente
'Elena Vargas',Historia-B,martes,'07:15 a. m.',febrero,Presente
'Diego Campos',Matematicas-A,viernes,'01:30 a. m.',septiembre,Presente
'Sara Villalba',Historia-B,viernes,'11:45 p. m.',noviembre,Ausente
'Isabel Fuentes',Historia-B,lunes,'12:00 a. m.',diciembre,Ausente
'Pedro Gomez',Matematicas-A,viernes,'05:30 p. m.',diciembre,Presente
'Diego Campos',Matematicas-A,viernes,'12:00 a. m.',agosto,Ausente
'Diego Campos',Quimica-C,miercoles,'11:30 a. m.',agosto,Ausente
'Mario Salazar',Quimica-C,martes,'05:30 a. m.',mayo,Presente
'Elena Vargas',Matematicas-A,viernes,'05:00 p. m.',diciembre,Presente
'Jorge Morales',Matematicas-A,lunes,'04:00 a. m.',diciembre,Presente
'Miguel Castro',Matematicas-A,viernes,'08:45 p. m.',mayo,Ausente
'Pablo Torres',Historia-B,jueves,'10:15 p. m.',enero,Ausente
'Pedro Gomez',Matematicas-A,jueves,'12:00 p. m.',abril,Ausente
'Juan Pena',Historia-B,jueves,'01:00 p. m.',marzo,Presente
'Camila Navarro',Quimica-C,lunes,'06:30 p. m.',diciembre,Presente
'Diego Campos',Quimica-C,miercoles,'09:45 a. m.',marzo,Presente
'Pedro Gomez',Historia-B,viernes,'01:30 p. m.',agosto,Presente
'Andrea Rios',Matematicas-A,jueves,'09:00 a. m.',enero,Ausente
'Laura Sanchez',Historia-B,lunes,'09:15 p. m.',agosto,Tarde
'Camila Navarro',Historia-B,miercoles,'04:45 p. m.',septiembre,Presente
'Valeria Soto',Historia-B,jueves,'09:45 a. m.',octubre,Ausente
'Mario Salazar',Matematicas-A,viernes,'11:15 p. m.',enero,Ausente
'Andrea Rios',Quimica-C,miercoles,'07:30 a. m.',enero,Presente
'Daniela Pardo',Matematicas-A,lunes,'06:15 p. m.',marzo,Presente
'Ana Torres',Matematicas-A,jueves,'05:15 p. m.',febrero,Presente
'Claudia Reyes',Matematicas-A,lunes,'10:30 p. m.',febrero,Ausente
'Carlos Diaz',Historia-B,miercoles,'06:00 p. m.',mayo,Presente
'Claudia Reyes',Historia-B,lunes,'03:30 p. m.',agosto,Presente
'Diana Moreno',Matematicas-A,lunes,'02:15 p. m.',abril,Presente
'Gabriel Romero',Matematicas-A,martes,'04:45 p. m.',marzo,Presente
'Laura Sanchez',Matematicas-A,lunes,'05:45 a. m.',diciembre,Presente
'Claudia Reyes',Matematicas-A,lunes,'03:45 a. m.',marzo,Presente
